id,attribute_name,description
2551,Communication,"speaks in a clear, concise, thorough manner"
2552,Positive Attitude,shows excitement and enthusiasm for the job
2553,Cooperation/Teamwork,"works well with others, adapts and accommodates"
2554,Goal-Oriented,"is motivated and driven, sets clear goals that align with work"
2555,Flexibility,adapts well to new or changing situations
2556,Dependability,"good work ethic, reliable and trustworthy"
2557,Integrity,"faces problems head-on, is honest and upfront"
2558,Creativity,"versatile, thinks outside the box, enjoys problem-solving"
2559,Organization,prioritizes and organizes time and tasks well
2560,Intelligence,quick to learn and apply new knowledge and skills
